Landmark,Y
9,0.439517587
10,0.393750757
11,0.424743921
12,0.436698407
13,0.456028074
14,0.418699771
15,0.464341909
16,0.47970897
17,0.479002833
18,0.462969631
19,0.495874316
20,0.50854826
0,0.610343099
1,0.556054175
2,0.4873918
3,0.43029958
4,0.382053167
5,0.442507237
6,0.376001656
7,0.334125608
8,0.29761529
9,0.450484902
10,0.397760749
11,0.38237235
12,0.368943214
13,0.468838394
14,0.422393382
15,0.443321079
16,0.457843184
17,0.490771472
18,0.46682778
19,0.48891753
20,0.506567597
0,0.609193265
1,0.560322106
2,0.49187386
3,0.435587585
4,0.386432767
5,0.437281489
6,0.374392599
7,0.331084639
8,0.297140121
9,0.445856959
10,0.389176548
11,0.37278226
12,0.355888039
13,0.467365324
14,0.42449683
15,0.462178111
16,0.483197629
17,0.493937373
18,0.467474461
19,0.497596443
20,0.518241763
0,0.581317425
1,0.554927051
2,0.485563427
3,0.428766519
4,0.381016016
5,0.445775867
6,0.399219453
7,0.362097561
8,0.335580051
9,0.450820565
10,0.401763618
11,0.41626507
12,0.420724332
13,0.468654394
14,0.422970742
15,0.459900379
16,0.476669401
17,0.49317503
18,0.468806177
19,0.49577108
20,0.511049688
0,0.612135589
1,0.558783054
2,0.489824235
3,0.432427526
4,0.38261196
5,0.445239097
6,0.379249036
7,0.33668077
8,0.29949531
9,0.452381134
10,0.395703763
11,0.37061882
12,0.348642796
13,0.470424354
14,0.421524853
15,0.442034096
16,0.455754787
17,0.493201375
18,0.468375057
19,0.490699321
20,0.508560359
0,0.608480096
1,0.560972989
2,0.494348019
3,0.436785936
4,0.386599064
5,0.438642293
6,0.372658491
7,0.329649478
8,0.293251187
9,0.450460494
10,0.397467077
11,0.412090063
12,0.427395165
13,0.471314102
14,0.429825515
15,0.466894001
16,0.488536417
17,0.496781856
18,0.470658243
19,0.501370668
20,0.522281587
0,0.557640612
1,0.540879309
2,0.48216483
3,0.428693831
4,0.384111106
5,0.436417133
6,0.376790822
7,0.337309778
8,0.304696262
9,0.439867049
10,0.389719427
11,0.406524062
12,0.408308327
13,0.455296427
14,0.420658976
15,0.46748656
16,0.484542251
17,0.478299558
18,0.466143042
19,0.499937415
20,0.51171869
0,0.609409094
1,0.558766246
2,0.490108222
3,0.431537569
4,0.379720479
5,0.447918087
6,0.38047865
7,0.337596238
8,0.300734311
9,0.453369945
10,0.390892714
11,0.355325431
12,0.324524343
13,0.470190972
14,0.418771535
15,0.437954247
16,0.450336158
17,0.489747345
18,0.466234207
19,0.487308174
20,0.502641261
0,0.607833803
1,0.563271701
2,0.494574934
3,0.437178195
4,0.388554841
5,0.441482902
6,0.374346077
7,0.331652701
8,0.29430005
9,0.451433539
10,0.40080297
11,0.410731882
12,0.419986099
13,0.471042573
14,0.429244757
15,0.463296175
16,0.48284933
17,0.495273769
18,0.472187757
19,0.499661267
20,0.517669261
0,0.557640612
1,0.540879309
2,0.48216483
3,0.428693831
4,0.384111106
5,0.436417133
6,0.376790822
7,0.337309778
8,0.304696262
9,0.439867049
10,0.389719427
11,0.406524062
12,0.408308327
13,0.455296427
14,0.420658976
15,0.46748656
16,0.484542251
17,0.478299558
18,0.466143042
19,0.499937415
20,0.51171869
0,0.608899117
1,0.556636751
2,0.489311904
3,0.432595819
4,0.381805182
5,0.449298948
6,0.382929027
7,0.340017349
8,0.30406037
9,0.45463863
10,0.386008024
11,0.343038678
12,0.306872964
13,0.472388387
14,0.417723238
15,0.422227383
16,0.423857361
