Landmark,Y
1,0.611575842
2,0.544305503
3,0.497274727
4,0.466518402
5,0.448924363
6,0.371161222
7,0.324714839
8,0.284527332
9,0.444866329
10,0.359619588
11,0.309999943
12,0.269950569
13,0.464774191
14,0.389823407
15,0.343057394
16,0.298090398
17,0.499842644
18,0.471021384
19,0.490692347
20,0.511129141
0,0.656647921
1,0.612010956
2,0.544448376
3,0.495805949
4,0.462641448
5,0.449410081
6,0.371718258
7,0.324469209
8,0.283355057
9,0.445031822
10,0.358535111
11,0.308795989
12,0.270098776
13,0.4642663
14,0.39081955
15,0.34340173
16,0.29722473
17,0.497781962
18,0.470805734
19,0.493007302
20,0.51519978
0,0.507144868
1,0.512486577
2,0.497879416
3,0.481178045
4,0.469044298
5,0.442851335
6,0.391077161
7,0.354798168
8,0.324136376
9,0.431209534
10,0.372845858
11,0.327351809
12,0.288179964
13,0.434709281
14,0.387789011
15,0.356388807
16,0.329560757
17,0.444197029
18,0.427899629
19,0.425878495
20,0.424477577
0,0.656530142
1,0.610402167
2,0.544671237
3,0.497215033
4,0.463921994
5,0.447797835
6,0.371262908
7,0.324321091
8,0.284325808
9,0.444206834
10,0.358191192
11,0.308312595
12,0.268645346
13,0.463774353
14,0.390187621
15,0.34425813
16,0.299977541
17,0.497043282
18,0.47019279
19,0.489644378
20,0.509039462
0,0.519030809
1,0.525295973
2,0.509766757
3,0.489452541
4,0.473225296
5,0.448030174
6,0.390636235
7,0.349077761
8,0.313204974
9,0.430969357
10,0.369187832
11,0.320182115
12,0.275665611
13,0.428792775
14,0.371897906
15,0.326666147
16,0.289011359
17,0.433095038
18,0.394121051
19,0.363023132
20,0.334817946
0,0.658719063
1,0.611578822
2,0.548699021
3,0.503232777
4,0.4656654
5,0.448994398
6,0.372423917
7,0.324980915
8,0.285066843
9,0.446638584
10,0.359330595
11,0.309274971
12,0.268963039
13,0.466174811
14,0.394045353
15,0.347636312
16,0.302779526
17,0.498907894
18,0.477877885
19,0.50066632
20,0.521462023
0,0.555039883
1,0.551528513
2,0.528117597
3,0.502258003
4,0.478302687
5,0.440264076
6,0.369342238
7,0.321334273
8,0.281105489
9,0.431121647
10,0.357317299
11,0.309096634
12,0.265874326
13,0.440777838
14,0.380966812
15,0.33811146
16,0.301018238
17,0.461832404
18,0.446169674
19,0.448233545
20,0.45081836
0,0.656005204
1,0.611269355
2,0.547952652
3,0.501948357
4,0.466489285
5,0.448352903
6,0.371275127
7,0.323932052
8,0.282878816
9,0.44562608
10,0.359224945
11,0.310120642
12,0.271634191
13,0.465433121
14,0.393312186
15,0.346526086
16,0.301131845
17,0.498677671
18,0.475453824
19,0.50005275
20,0.524322689
0,0.595310271
1,0.576666832
2,0.537437975
3,0.504581034
4,0.473297358
